Drug,Pathway,DetailedPathway,Impact,MIC,Induction,Rep1,Rep2
Azithromycin,Ribosome,50S subunit,Static,0.25,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-25MIC_S59_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-25MIC_S49_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,2,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-2MIC_S41_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-2MIC_S45_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,0.5,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-5MIC_S52_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-5MIC_S50_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,1,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-MIC_S44_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-MIC_S40_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,0.25,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-25MIC1mM_S55_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-25MIC1mM_S59_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,2,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-2MIC1mM_S50_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-2MIC1mM_S47_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,0.5,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-5MIC1mM_S51_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-5MIC1mM_S48_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,1,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-MIC1mM_S43_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-MIC1mM_S41_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,0.25,2,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-25MIC-2mM_S56_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-25MIC-2mM_S52_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,2,2,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-2MIC-2mM_S39_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-2MIC-2mM_S42_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,0.5,2,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-5MIC-2mM_S47_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-5MIC-2mM_S36_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,1,2,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep1/AZITHROrep1-MIC-2mM_S53_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Azithromycin/AZITHROrep2/AZITHROrep2-MIC-2mM_S44_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,0.25,pool,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep1/combined/25MIC.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep2/combined/25MIC.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,0.5,pool,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep1/combined/5MIC.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep2/combined/5MIC.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,1,pool,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep1/combined/MIC.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep2/combined/MIC.insert_site_plot.gz
Azithromycin,Ribosome,50S subunit,Static,2,pool,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep1/combined/2MIC.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Azithromycin-AZITHROrep2/combined/2MIC.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,0.25,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-25MIC_S39_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-25MIC_S47_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,2,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-2MIC_S58_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-2MIC_S53_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,0.5,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-5MIC_S50_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-5MIC_S38_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,1,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-MIC_S48_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-MIC_S50_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,0.25,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-25MIC1mM_S41_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-25MIC1mM_S43_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,2,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-2MIC1mM_S49_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-2MIC1mM_S55_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,0.5,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-5MIC1mM_S52_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-5MIC1mM_S39_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,1,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-MIC1mM_S60_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-MIC1mM_S54_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,0.25,2,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-25MIC-2mM_S37_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-25MIC-2mM_S40_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,2,2,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-2MIC-2mM_S54_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-2MIC-2mM_S56_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,0.5,2,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-5MIC-2mM_S45_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-5MIC-2mM_S42_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,1,2,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep1/ATMrep1-MIC-2mM_S51_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Aztreonam/ATMrep2/ATMrep2-MIC-2mM_S52_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,0.25,pool,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Aztreonam-ATMrep1/combined/25MIC.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Aztreonam-ATMrep2/combined/25MIC.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,0.5,pool,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Aztreonam-ATMrep1/combined/5MIC.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Aztreonam-ATMrep2/combined/5MIC.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,1,pool,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Aztreonam-ATMrep1/combined/MIC.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Aztreonam-ATMrep2/combined/MIC.insert_site_plot.gz
Aztreonam,Cell wall,PBP,Cidal,2,pool,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Aztreonam-ATMrep1/combined/2MIC.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Aztreonam-ATMrep2/combined/2MIC.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,0.25,0,missing,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep2/CXMrep2-25MIC_S42_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,0.5,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep1/CXM0-5MIC_S27_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep2/CXMrep2-5MIC_S47_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,2,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep1/CXM2MIC_S23_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep2/CXMrep2-2MIC_S30_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,1,0,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep1/CXMMIC_S20_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep2/CXMrep2-MIC_S25_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,0.25,1,missing,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep2/CXMrep2-25MIC1mM_S36_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,0.5,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep1/CXM0-5MIC1mM_S24_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep2/CXMrep2-5MIC1mM_S41_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,2,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep1/CXM2MIC1mM_S25_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep2/CXMrep2-2MIC1mM_S32_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,1,1,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep1/CXMMIC1mM_S26_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep2/CXMrep2-MIC1mM_S24_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,0.25,2,missing,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep2/CXMrep2-25MIC-2mM_S44_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,0.5,2,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep1/CXM0-5MIC-2mM_S28_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep2/CXMrep2-5MIC-2mM_S39_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,2,2,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep1/CXM2MIC-2mM_S21_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep2/CXMrep2-2MIC-2mM_S28_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,1,2,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep1/CXMMIC-2mM_S22_L999_R1_001.out.gz.CP009273.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/Cefuroxime/CXMrep2/CXMrep2-MIC-2mM_S31_L999_R1_001.out.gz.CP009273.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,0.25,pool,missing,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Cefuroxime-CXMrep2/combined/25MIC.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,0.5,pool,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Cefuroxime-CXMrep1/combined/5MIC.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Cefuroxime-CXMrep2/combined/5MIC.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,1,pool,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Cefuroxime-CXMrep1/combined/MIC.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Cefuroxime-CXMrep2/combined/MIC.insert_site_plot.gz
Cefuroxime,Cell wall,PBP,Cidal,2,pool,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Cefuroxime-CXMrep1/combined/2MIC.insert_site_plot.gz,/mnt/yasirvol/ANTIBIOTIC_STRESS_EXPERIMENT/ANALYSIS_BY_YASIRandKEITH/combined_plots/Cefuroxime-CXMrep2/combined/2MIC.insert_site_plot.gz
